addr_st,addr_xst,city,state,address,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"E MAGILL AV","N EIGHTH ST",Fresno,CA,"E MAGILL AV and N EIGHTH ST",36.836024,-119.759265,1,intersection,,"E Magill Ave",,,Fresno,CA,"Fresno County",93710,US,"TIGER/Line® dataset from the US Census Bureau"
"N THESTA ST","E WHITE AV",Fresno,CA,"N THESTA ST and E WHITE AV",36.751472,-119.783508,1,intersection,,"E White Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"S DUKE AV","E MONO AV",Fresno,CA,"S DUKE AV and E MONO AV",36.8411,-119.801015,0.5,place,,,,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® dataset from the US Census Bureau"
"N COLLEGE AV","E BELMONT AV",Fresno,CA,"N COLLEGE AV and E BELMONT AV",36.750405,-119.797687,0.93,intersection,,"E Belmont Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"N FISHER ST","E GARLAND AV",Fresno,CA,"N FISHER ST and E GARLAND AV",36.784994,-119.770234,1,intersection,,"E Garland Ave",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"E OLIVE AV","N BAILEY AV",Fresno,CA,"E OLIVE AV and N BAILEY AV",36.757483,-119.721905,0.86,intersection,,"E Olive Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"N BENGSTON AV","W ASHLAN AV",Fresno,CA,"N BENGSTON AV and W ASHLAN AV",36.793819,-119.830268,1,intersection,,"N Bengston Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"E BALCH AV","S EIGHTH ST",Fresno,CA,"E BALCH AV and S EIGHTH ST",36.738089,-119.761071,1,intersection,,"E Balch Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"N CEDAR AV","E DAYTON AV",Fresno,CA,"N CEDAR AV and E DAYTON AV",36.783217,-119.754329,1,intersection,,"E Dayton Ave",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"W ASHLAN AV","N HOLT AV",Fresno,CA,"W ASHLAN AV and N HOLT AV",36.793738,-119.820326,1,intersection,,"N Holt Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"N PEACH AV","E OLIVE AV",Fresno,CA,"N PEACH AV and E OLIVE AV",36.757463,-119.718246,1,intersection,,"E Olive Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"E KINGS CANYON RD","S WILLOW AV",Fresno,CA,"E KINGS CANYON RD and S WILLOW AV",36.735886,-119.727401,1,intersection,,"E Kings Canyon Rd",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"W SHIELDS AV","N MARTY AV",Fresno,CA,"W SHIELDS AV and N MARTY AV",36.779147,-119.857813,1,intersection,,"N Marty Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"N VAGEDES AV","W FLORADORA AV",Fresno,CA,"N VAGEDES AV and W FLORADORA AV",36.761189,-119.816514,1,intersection,,"N Vagedes Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"N ARGYLE AV","E IOWA AV",Fresno,CA,"N ARGYLE AV and E IOWA AV",36.743178,-119.693436,0.95,intersection,,"E Iowa Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"N CONSTANCE AV","W SWIFT AV",Fresno,CA,"N CONSTANCE AV and W SWIFT AV",36.795946,-119.885319,1,intersection,,"N Constance Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"N PALM AV","W STUART AV",Fresno,CA,"N PALM AV and W STUART AV",36.825119,-119.808325,1,intersection,,"N Palm Ave",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"N FRUIT AV","W ASHLAN AV",Fresno,CA,"N FRUIT AV and W ASHLAN AV",36.793843,-119.817493,1,intersection,,"N Fruit Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"N VALENTINE AV","W SAN JOSE AV",Fresno,CA,"N VALENTINE AV and W SAN JOSE AV",36.811838,-119.853487,0.52,intersection,,"N Valentine Ave",,,Fresno,CA,"Fresno County",93711,US,"TIGER/Line® dataset from the US Census Bureau"
"W ASHLAN AV","N WARREN AV",Fresno,CA,"W ASHLAN AV and N WARREN AV",36.792498,-119.829255,0.93,intersection,,"N Warren Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"N FOURTH ST","E WHITE AV",Fresno,CA,"N FOURTH ST and E WHITE AV",36.751857,-119.76686,1,intersection,,"E White Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"E MCKINLEY AV","N FRESNO ST",Fresno,CA,"E MCKINLEY AV and N FRESNO ST",36.765001,-119.781521,1,intersection,,"E McKinley Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"N SIERRA VISTA AV","E SIERRA AV",Fresno,CA,"N SIERRA VISTA AV and E SIERRA AV",36.830185,-119.665776,0.8,intersection,,"E Sierra Ave",,,Clovis,CA,"Fresno County",93611,US,"TIGER/Line® dataset from the US Census Bureau"
"N FRUIT AV","W SAGINAW WY",Fresno,CA,"N FRUIT AV and W SAGINAW WY",36.788426,-119.817515,0.91,intersection,,"N Fruit Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"E FLORENCE AV","S FAIRVIEW AV",Fresno,CA,"E FLORENCE AV and S FAIRVIEW AV",36.717701,-119.804345,1,intersection,,"E Florence Ave",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"FULTON ST","VENTURA AV",Fresno,CA,"FULTON ST and VENTURA AV",36.729914,-119.785748,0.8,intersection,,"Fulton St",,,Fresno,CA,"Fresno County",93721,US,"TIGER/Line® dataset from the US Census Bureau"
"N CECELIA AV","W PINE AV",Fresno,CA,"N CECELIA AV and W PINE AV",36.761311,-119.87394,1,intersection,,"N Cecelia Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"W SAGINAW WY","N MANOR AV",Fresno,CA,"W SAGINAW WY and N MANOR AV",36.788373,-119.827447,1,intersection,,"N Manor Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"E NEVADA AV","N EIGHTH ST",Fresno,CA,"E NEVADA AV and N EIGHTH ST",36.745922,-119.760795,1,intersection,,"E Nevada Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"W MINARETS AV","N MAROA AV",Fresno,CA,"W MINARETS AV and N MAROA AV",36.842635,-119.799603,1,intersection,,"N Maroa Ave",,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® dataset from the US Census Bureau"
"W SHIELDS AV","N FRUIT AV",Fresno,CA,"W SHIELDS AV and N FRUIT AV",36.779361,-119.817588,1,intersection,,"N Fruit Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"E SIMPSON AV","N FOURTH ST",Fresno,CA,"E SIMPSON AV and N FOURTH ST",36.777363,-119.766892,1,intersection,,"E Simpson Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"E NORTHDALE AV","N ANGUS ST",Fresno,CA,"E NORTHDALE AV and N ANGUS ST",36.799089,-119.776841,1,intersection,,"E Northdale Ave",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"E SIMPSON AV","N COLLEGE AV",Fresno,CA,"E SIMPSON AV and N COLLEGE AV",36.778579,-119.797304,1,intersection,,"E Simpson Ave",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"E NEVADA AV","N CHESTNUT AV",Fresno,CA,"E NEVADA AV and N CHESTNUT AV",36.745913,-119.736363,1,intersection,,"E Nevada Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"W SAN JOSE AV","N HANOVER AV",Fresno,CA,"W SAN JOSE AV and N HANOVER AV",36.811771,-119.866371,0.8,intersection,,Hanover,,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"E BIRCH AV","N HAYSTON AV",Fresno,CA,"E BIRCH AV and N HAYSTON AV",36.84214,-119.750434,1,intersection,,"E Birch Ave",,,Fresno,CA,"Fresno County",93720,US,"TIGER/Line® dataset from the US Census Bureau"
"E FARRIN AV","N SEVENTH ST",Fresno,CA,"E FARRIN AV and N SEVENTH ST",36.789372,-119.76236,1,intersection,,"E Farrin Ave",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"E ALLUVIAL AV","N HAYSTON AV",Fresno,CA,"E ALLUVIAL AV and N HAYSTON AV",36.84478,-119.7508,1,intersection,,"E Alluvial Ave",,,Fresno,CA,"Fresno County",93720,US,"TIGER/Line® dataset from the US Census Bureau"
"N POLK AV","W MCKINLEY AV",Fresno,CA,"N POLK AV and W MCKINLEY AV",36.762242,-119.889348,0.68,intersection,,"N Polk Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"E SWIFT AV","N MILLBROOK AV",Fresno,CA,"E SWIFT AV and N MILLBROOK AV",36.796026,-119.764213,0.9,intersection,,"E Swift Ave",,,Fresno,CA,"Fresno County",93726,US,"TIGER/Line® dataset from the US Census Bureau"
"N SAFFORD AV","E OLIVE AV",Fresno,CA,"N SAFFORD AV and E OLIVE AV",36.757609,-119.809699,0.91,intersection,,"E Olive Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"S PLUMAS AV","E WHITES BRIDGE AV",Fresno,CA,"S PLUMAS AV and E WHITES BRIDGE AV",36.73588,-119.81143,0.8,intersection,,"S Plumas St",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"W PALO ALTO AV","N BRUNSWICK AV",Fresno,CA,"W PALO ALTO AV and N BRUNSWICK AV",36.833544,-119.867407,1,intersection,,"N Brunswick Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"E LEXINGTON AV","N BACKER AV",Fresno,CA,"E LEXINGTON AV and N BACKER AV",36.85339,-119.745789,1,intersection,,"E Lexington Ave",,,Fresno,CA,"Fresno County",93720,US,"TIGER/Line® dataset from the US Census Bureau"
"E SHAW AV","N SIXTH ST",Fresno,CA,"E SHAW AV and N SIXTH ST",36.808585,-119.763219,0.81,intersection,,"E Shaw Ave",,,Fresno,CA,"Fresno County",93710,US,"TIGER/Line® dataset from the US Census Bureau"
"N FULTON ST","E DUDLEY AV",Fresno,CA,"N FULTON ST and E DUDLEY AV",36.753789,-119.802843,0.74,intersection,,"E Dudley Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"W DAKOTA AV","N PLEASANT AV",Fresno,CA,"W DAKOTA AV and N PLEASANT AV",36.785519,-119.83987,0.95,intersection,,"N Pleasant Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"N WILSON AV","E THOMAS AV",Fresno,CA,"N WILSON AV and E THOMAS AV",36.752175,-119.806316,1,intersection,,"E Thomas Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"N FORESTIERE AV","W HAMPTON WY",Fresno,CA,"N FORESTIERE AV and W HAMPTON WY",36.791751,-119.883071,0.91,intersection,,"N Forestiere Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"W FAIRMONT AV","N HOLT AV",Fresno,CA,"W FAIRMONT AV and N HOLT AV",36.803799,-119.836414,0.82,intersection,,"N Holt Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"N COLLEGE AV","E PRINCETON AV",Fresno,CA,"N COLLEGE AV and E PRINCETON AV",36.775849,-119.797308,1,intersection,,"E Princeton Ave",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"E CLINTON AV","N FOWLER AV",Fresno,CA,"E CLINTON AV and N FOWLER AV",36.77212,-119.682211,1,intersection,,"E Clinton Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"W ALAMOS AV","N MARKS AV",Fresno,CA,"W ALAMOS AV and N MARKS AV",36.805673,-119.844364,0.77,intersection,,"N Marks Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
NA,NA,Fresno,CA,"NA and NA",36.8411,-119.801015,1,place,,,,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® dataset from the US Census Bureau"
"W ASHLAN AV","N BRIARWOOD AV",Fresno,CA,"W ASHLAN AV and N BRIARWOOD AV",36.791882,-119.840264,0.7,intersection,,"Briarwood Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"E ILLINOIS AV","N FOURTH ST",Fresno,CA,"E ILLINOIS AV and N FOURTH ST",36.745005,-119.767623,1,intersection,,"E Illinois Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"E MENLO AV","N MAPLE AV",Fresno,CA,"E MENLO AV and N MAPLE AV",36.831454,-119.745117,1,intersection,,"E Menlo Ave",,,Fresno,CA,"Fresno County",93710,US,"TIGER/Line® dataset from the US Census Bureau"
"E VASSAR AV","N BLACKSTONE AV",Fresno,CA,"E VASSAR AV and N BLACKSTONE AV",36.771353,-119.79336,0.71,intersection,,"E Vassar Ave",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"N SAN PABLO AV","E KLONDIKE AV",Fresno,CA,"N SAN PABLO AV and E KLONDIKE AV",36.748332,-119.795817,0.88,intersection,,"E Klondike Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"E CLINTON AV","N MAROA AV",Fresno,CA,"E CLINTON AV and N MAROA AV",36.772216,-119.799573,1,intersection,,"E Clinton Ave",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"N FOURTH ST","E BELMONT AV",Fresno,CA,"N FOURTH ST and E BELMONT AV",36.750454,-119.767576,1,intersection,,"E Belmont Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"A ST","TULARE ST",Fresno,CA,"A ST and TULARE ST",36.571725,-119.609585,1,intersection,,"A St",,,Selma,CA,"Fresno County",93662,US,"TIGER/Line® dataset from the US Census Bureau"
"E SIMPSON AV","N PEARWOOD AV",Fresno,CA,"E SIMPSON AV and N PEARWOOD AV",36.778841,-119.670697,0.84,intersection,,"E Simpson Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"E HEATON AV","S APRICOT AV",Fresno,CA,"E HEATON AV and S APRICOT AV",36.727927,-119.668805,1,intersection,,"E Heaton Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"E LEWIS AV","N THESTA ST",Fresno,CA,"E LEWIS AV and N THESTA ST",36.754517,-119.783507,1,intersection,,"E Lewis Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"N MAPLE AV","E UNIVERSITY AV",Fresno,CA,"N MAPLE AV and E UNIVERSITY AV",36.766819,-119.745404,1,intersection,,"E University Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"E TOWNSEND AV","S TENTH ST",Fresno,CA,"E TOWNSEND AV and S TENTH ST",36.727706,-119.759145,0.87,intersection,,"E Townsend Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"E OLIVE AV","N WILLOW AV",Fresno,CA,"E OLIVE AV and N WILLOW AV",36.75748,-119.727299,1,intersection,,"E Olive Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"E BUTLER AV","S ELEVENTH ST",Fresno,CA,"E BUTLER AV and S ELEVENTH ST",36.728505,-119.72485,1,street_center,,"E Butler Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"N WILSON AV","E PINE AV",Fresno,CA,"N WILSON AV and E PINE AV",36.762481,-119.806865,1,intersection,,"E Pine Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"N ELLENDALE AV","W PINE AV",Fresno,CA,"N ELLENDALE AV and W PINE AV",36.761963,-119.888522,0.75,intersection,,"N Ellendale Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"W PAUL AV","N COLLEGE AV",Fresno,CA,"W PAUL AV and N COLLEGE AV",36.831994,-119.797042,0.94,intersection,,"N College Ave",,,Fresno,CA,"Fresno County",93704,US,"TIGER/Line® dataset from the US Census Bureau"
"N VALERIA ST","E GRANT AV",Fresno,CA,"N VALERIA ST and E GRANT AV",36.748652,-119.784897,1,intersection,,"E Grant Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"N MARKS AV","W MCKINLEY AV",Fresno,CA,"N MARKS AV and W MCKINLEY AV",36.764693,-119.844261,0.6,intersection,,"N Marks Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"N FIFTH ST","E THOMAS AV",Fresno,CA,"N FIFTH ST and E THOMAS AV",36.75325,-119.76571,1,intersection,,"E Thomas Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"N VAN NESS AV","E VOORMAN AV",Fresno,CA,"N VAN NESS AV and E VOORMAN AV",36.744147,-119.798883,1,intersection,,"E Voorman Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"N WOODROW AV","E PERALTA WY",Fresno,CA,"N WOODROW AV and E PERALTA WY",36.76602,-119.742026,0.96,intersection,,"E Peralta Way",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"E OLIVE AV","N THESTA ST",Fresno,CA,"E OLIVE AV and N THESTA ST",36.757677,-119.783758,0.97,intersection,,"E Olive Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"E LA SALLE AV","N GLENN AV",Fresno,CA,"E LA SALLE AV and N GLENN AV",36.755001,-119.792796,1,intersection,,"E La Salle Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"N WILSON AV","E OLIVE AV",Fresno,CA,"N WILSON AV and E OLIVE AV",36.757632,-119.806328,1,intersection,,"E Olive Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"E CHAMPLAIN DR","E PERRIN AV",Fresno,CA,"E CHAMPLAIN DR and E PERRIN AV",36.87225,-119.764692,1,intersection,,"E Champlain Dr",,,Fresno,CA,"Fresno County",93720,US,"TIGER/Line® dataset from the US Census Bureau"
"W EDEN AV","S ARTHUR AV",Fresno,CA,"W EDEN AV and S ARTHUR AV",36.725358,-119.815395,1,intersection,,"S Arthur Ave",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"E PATTERSON AV","N DELPHIA AV",Fresno,CA,"E PATTERSON AV and N DELPHIA AV",36.75589,-119.793919,0.91,intersection,,"E Patterson Ave",,,Fresno,CA,"Fresno County",93728,US,"TIGER/Line® dataset from the US Census Bureau"
"N CEDAR AV","E PRINCETON AV",Fresno,CA,"N CEDAR AV and E PRINCETON AV",36.775967,-119.754418,1,intersection,,"E Princeton Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"N ORCHARD ST","E WASHINGTON AV",Fresno,CA,"N ORCHARD ST and E WASHINGTON AV",36.747721,-119.774715,1,intersection,,"E Washington Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"E CLAY AV","N CLARK ST",Fresno,CA,"E CLAY AV and N CLARK ST",36.756349,-119.78542,1,intersection,,"E Clay Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"N DIANA ST","E DIVISADERO ST",Fresno,CA,"N DIANA ST and E DIVISADERO ST",36.743311,-119.787008,0.71,intersection,,"Divisadero St",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"N PARK AV","E MCKENZIE AV",Fresno,CA,"N PARK AV and E MCKENZIE AV",36.746814,-119.796845,0.8,intersection,,"E McKenzie Ave",,,Fresno,CA,"Fresno County",93701,US,"TIGER/Line® dataset from the US Census Bureau"
"S SIERRA VISTA AV","E FILLMORE AV",Fresno,CA,"S SIERRA VISTA AV and E FILLMORE AV",36.741593,-119.741571,1,intersection,,"E Fillmore Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"E MUNCIE AV","N SIXTH ST",Fresno,CA,"E MUNCIE AV and N SIXTH ST",36.853811,-119.767608,0.85,intersection,,"E Muncie Ave",,,Fresno,CA,"Fresno County",93720,US,"TIGER/Line® dataset from the US Census Bureau"
"W SHAW AV","N FELAND AV",Fresno,CA,"W SHAW AV and N FELAND AV",36.81243,-119.846573,0.69,intersection,,"N Feland Ave",,,Fresno,CA,"Fresno County",93711,US,"TIGER/Line® dataset from the US Census Bureau"
"E TULARE ST","S ROGERS LN",Fresno,CA,"E TULARE ST and S ROGERS LN",36.743172,-119.701247,0.75,intersection,,"E Tulare Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"N CARNEGIE AV","W HOLLAND AV",Fresno,CA,"N CARNEGIE AV and W HOLLAND AV",36.796797,-119.893459,0.96,intersection,,"N Carnegie Ave",,,Fresno,CA,"Fresno County",93722,US,"TIGER/Line® dataset from the US Census Bureau"
"N HUGHES AV","W NORWICH AV",Fresno,CA,"N HUGHES AV and W NORWICH AV",36.798409,-119.83557,0.93,intersection,,"N Hughes Ave",,,Fresno,CA,"Fresno County",93705,US,"TIGER/Line® dataset from the US Census Bureau"
"N NINTH ST","E SHAW AV",Fresno,CA,"N NINTH ST and E SHAW AV",36.808602,-119.758716,1,intersection,,"E Shaw Ave",,,Fresno,CA,"Fresno County",93710,US,"TIGER/Line® dataset from the US Census Bureau"
"E HUNTINGTON AV","S SIERRA VISTA AV",Fresno,CA,"E HUNTINGTON AV and S SIERRA VISTA AV",36.739545,-119.741488,0.99,intersection,,"E Huntington Ave",,,Fresno,CA,"Fresno County",93702,US,"TIGER/Line® dataset from the US Census Bureau"
"S THORNE AV","W WHITES BRIDGE AV",Fresno,CA,"S THORNE AV and W WHITES BRIDGE AV",36.73587,-119.812888,0.97,intersection,,"S Thorne Ave",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"E WOODWARD AV","S WALDBY AV",Fresno,CA,"E WOODWARD AV and S WALDBY AV",36.723531,-119.713532,1,intersection,,"E Woodward Ave",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"S MAUD AV","E CALIFORNIA AV",Fresno,CA,"S MAUD AV and E CALIFORNIA AV",36.721387,-119.802856,0.86,intersection,,"E California Ave",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
"N PALM AV","W HERNDON AV",Fresno,CA,"N PALM AV and W HERNDON AV",36.8376,-119.808292,0.97,intersection,,"N Palm Ave",,,Fresno,CA,"Fresno County",93650,US,"TIGER/Line® dataset from the US Census Bureau"
"E PITT AV","S DEWITT AV",Fresno,CA,"E PITT AV and S DEWITT AV",36.722856,-119.71351,0.55,intersection,,"E Dwight Way",,,Fresno,CA,"Fresno County",93727,US,"TIGER/Line® dataset from the US Census Bureau"
"E HAMMOND AV","N THESTA ST",Fresno,CA,"E HAMMOND AV and N THESTA ST",36.758626,-119.783758,1,intersection,,"E Hammond Ave",,,Fresno,CA,"Fresno County",93703,US,"TIGER/Line® dataset from the US Census Bureau"
"E OLEANDER AV","S PLUMAS AV",Fresno,CA,"E OLEANDER AV and S PLUMAS AV",36.729742,-119.811552,1,intersection,,"E Oleander Ave",,,Fresno,CA,"Fresno County",93706,US,"TIGER/Line® dataset from the US Census Bureau"
